panel_name,gene_symbol,mean_importance,sd_importance
Tier 1 full signature,NOX4,1.3124205821759085,0.4464853586246987
Tier 1 full signature,FN1,1.1484933723981068,0.5048237918099034
Tier 1 full signature,TNF,1.0316591770789452,0.431039594683303
Tier 1 full signature,JAK2,0.9020432287353193,0.24974426504791636
Tier 1 full signature,IL4R,0.859688230387728,0.3090099239665062
Tier 1 full signature,NCF1,0.7794735075655397,0.3329484756920414
Tier 1 full signature,WDFY4,0.677983815173878,0.2913000321299226
Tier 1 full signature,ICAM1,0.6204578150843871,0.2367012304801188
Tier 1 full signature,RAP1B,0.5969730525625837,0.271055177370201
Tier 1 full signature,SOCS1,0.5250498078264482,0.21306988433197963
Tier 1 full signature,LGALS9,0.5019134467822068,0.2377570679469362
Tier 1 full signature,FGR,0.47304341758674634,0.2050630312426893
Tier 1 full signature,OAS2,0.4642397847387636,0.2142538248797472
Tier 1 full signature,STAT1,0.4451572035257633,0.18973880354554115
Tier 1 full signature,FERMT3,0.43126132272647844,0.16961980159704276
Tier 1 full signature,PLAUR,0.4135143049387846,0.1629194587175985
Tier 1 full signature,PTPN1,0.4083706628322195,0.24514475561273832
Tier 1 full signature,PRAM1,0.3688245266494039,0.17098091758068246
Tier 1 full signature,LAP3,0.34680638031281086,0.15550123604656182
Tier 1 full signature,IRF1,0.29320999093378974,0.1638252071241997
Tier 1 full signature,SPI1,0.2911201415802584,0.143560807536985
Tier 1 full signature,CYBB,0.2431238805893331,0.15002712508203683
Tier 1 full signature,FCN1,0.1800329728145967,0.06641102206659315
PPI hub panel,FN1,2.196902831880379,0.5919395867832109
PPI hub panel,JAK2,1.9009455643300486,0.43501464869375706
PPI hub panel,IL4R,1.806870651467755,0.524218493788283
PPI hub panel,NCF1,1.543044071836485,0.4977458014250873
PPI hub panel,STAT1,1.1641251489697195,0.3387848599709283
PPI hub panel,PTPN1,1.068079819543376,0.4682921794948689
PPI hub panel,FGR,1.0278788322820576,0.3428432864631091
PPI hub panel,SPI1,0.7578207669607534,0.26222827640987895
PPI hub panel,IRF1,0.732963341296947,0.26370144930928247
PPI hub panel,CYBB,0.5661516190236285,0.19296303202821394
PPI hub panel,FCN1,0.5467454774088514,0.17987489527971745
Top biological panel,FN1,1.8880569229795947,0.5314484593993167
Top biological panel,JAK2,1.7877000949500725,0.4755365766152638
Top biological panel,IL4R,1.634971130643336,0.5333263332567777
Top biological panel,NCF1,1.5058083636621231,0.47336393438329677
Top biological panel,ICAM1,1.3282213748618312,0.4200643578632305
Top biological panel,STAT1,1.0539737288740034,0.38417376392304575
Top biological panel,LGALS9,0.9641878910898728,0.40832976131584536
Top biological panel,FGR,0.9442656832475447,0.2946701124055869
Top biological panel,SPI1,0.6611566580246692,0.22347460972042224
Top biological panel,CYBB,0.5427205008634923,0.22434935548191978
Top biological panel,SPP1,0.5283072872551223,0.2297101319536894
Top biological panel,FCN1,0.47688973854833866,0.1760349370464422
Tier 1 + key Tier 2 panel,NOX4,0.9733889147205772,0.35652319317845227
Tier 1 + key Tier 2 panel,FN1,0.867048795293283,0.3792428832658683
Tier 1 + key Tier 2 panel,ADAMTS4,0.8157430882659691,0.29014381555198654
Tier 1 + key Tier 2 panel,NFKBIE,0.7917899337412939,0.23353818486526157
Tier 1 + key Tier 2 panel,TNF,0.7474132428784223,0.3840523308060234
Tier 1 + key Tier 2 panel,SLC16A3,0.7230354762682725,0.2773087244871391
Tier 1 + key Tier 2 panel,IL17RA,0.6422237815870623,0.27865118010290135
Tier 1 + key Tier 2 panel,JAK2,0.6011401588133778,0.2226920188862173
Tier 1 + key Tier 2 panel,IL4R,0.5948870338315018,0.24266215312499906
Tier 1 + key Tier 2 panel,TIMP1,0.5568743369593899,0.24232842308359673
Tier 1 + key Tier 2 panel,CD40LG,0.5065262196834289,0.2607390652310913
Tier 1 + key Tier 2 panel,NCF1,0.48345991467863725,0.2875413973442418
Tier 1 + key Tier 2 panel,ICAM1,0.4053939888598226,0.22297174064788572
Tier 1 + key Tier 2 panel,WDFY4,0.40510265844445054,0.2231574166466513
Tier 1 + key Tier 2 panel,RAP1B,0.37182975944315216,0.1947965189833743
Tier 1 + key Tier 2 panel,SOCS1,0.34613046994308583,0.18209787393104332
Tier 1 + key Tier 2 panel,LGALS9,0.3143697141759982,0.18583142018123625
Tier 1 + key Tier 2 panel,OAS2,0.3098198043339352,0.16073467119103976
Tier 1 + key Tier 2 panel,STAT1,0.3035429446409318,0.16073373354073067
Tier 1 + key Tier 2 panel,SLC7A7,0.29690230607257834,0.17317413536619886
Tier 1 + key Tier 2 panel,PTPN1,0.2882577475096625,0.20830047212931538
Tier 1 + key Tier 2 panel,FGR,0.2701045209710757,0.1636976721991467
Tier 1 + key Tier 2 panel,PLAUR,0.2410237104529766,0.10459589410491753
Tier 1 + key Tier 2 panel,PRAM1,0.23879299003791588,0.1486429337579629
Tier 1 + key Tier 2 panel,FERMT3,0.23808514120883303,0.1360748654694996
Tier 1 + key Tier 2 panel,LAP3,0.23134733470943808,0.10996882481498477
Tier 1 + key Tier 2 panel,IRF1,0.18669991622055523,0.1286311547652249
Tier 1 + key Tier 2 panel,SPI1,0.1648097397502833,0.09494127216790772
Tier 1 + key Tier 2 panel,CYBB,0.14653172399619133,0.097907750125315
Tier 1 + key Tier 2 panel,SPP1,0.14449947485487752,0.10225881328346638
Tier 1 + key Tier 2 panel,FCN1,0.11475703265301992,0.057250769476077275
